term,strongs,book,chapter,verse,lxx_word,case,number
λόγος,G3056,2Ch,35,6,λόγον,Accusative,Singular
λόγος,G3056,2Ch,35,19,λόγους,Accusative,Plural
λόγος,G3056,2Ch,35,22,λόγων,Genitive,Plural
λόγος,G3056,2Ch,35,26,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,35,27,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,36,5,λόγον,Accusative,Singular
λόγος,G3056,2Ch,36,5,λόγον,Accusative,Singular
λόγος,G3056,2Ch,36,8,λόγων,Genitive,Plural
λόγος,G3056,2Ch,36,8,λόγων,Genitive,Plural
λόγος,G3056,2Ch,36,16,λόγους,Accusative,Plural
λόγος,G3056,2Ch,36,21,λόγον,Accusative,Singular
λόγος,G3056,Ezr,1,1,λόγον,Accusative,Singular
λόγος,G3056,Ezr,3,4,λόγον,Accusative,Singular
λόγος,G3056,Ezr,7,11,λόγων,Genitive,Plural
λόγος,G3056,Ezr,7,12,λόγος,Nominative,Singular
λόγος,G3056,Ezr,8,17,λόγους,Accusative,Plural
λόγος,G3056,Ezr,9,3,λόγον,Accusative,Singular
λόγος,G3056,Ezr,9,4,λόγον,Accusative,Singular
λόγος,G3056,Ezr,11,1,λόγοι,Nominative,Plural
λόγος,G3056,Ezr,11,4,λόγους,Accusative,Plural
λόγος,G3056,Ezr,11,8,λόγον,Accusative,Singular
λόγος,G3056,Ezr,12,18,λόγους,Accusative,Plural
λόγος,G3056,Ezr,12,20,λόγον,Accusative,Singular
λόγος,G3056,Ezr,15,6,λόγους,Accusative,Plural
λόγος,G3056,Ezr,15,8,λόγον,Accusative,Singular
λόγος,G3056,Ezr,15,9,λόγος,Nominative,Singular
λόγος,G3056,Ezr,15,13,λόγον,Accusative,Singular
λόγος,G3056,Ezr,16,7,λόγοι,Nominative,Plural
λόγος,G3056,Ezr,16,8,λόγοι,Nominative,Plural
λόγος,G3056,Ezr,16,12,λόγος,Nominative,Singular
λόγος,G3056,Ezr,16,19,λόγους,Accusative,Plural
λόγος,G3056,Ezr,16,19,λόγους,Accusative,Plural
λόγος,G3056,Ezr,18,9,λόγους,Accusative,Plural
λόγος,G3056,Ezr,18,12,λόγοις,Dative,Plural
λόγος,G3056,Ezr,18,13,λόγους,Accusative,Plural
λόγος,G3056,Ezr,19,8,λόγους,Accusative,Plural
λόγος,G3056,Ezr,22,23,λόγων,Genitive,Plural
λόγος,G3056,Ezr,22,47,λόγον,Accusative,Singular
λόγος,G3056,Ezr,23,17,λόγος,Nominative,Singular
λόγος,G3056,Est,1,1,λόγῳ,Dative,Singular
λόγος,G3056,Est,1,1,λόγους,Accusative,Plural
λόγος,G3056,Est,1,1,λόγων,Genitive,Plural
λόγος,G3056,Est,1,1,λόγους,Accusative,Plural
λόγος,G3056,Est,1,21,λόγος,Nominative,Singular
λόγος,G3056,Est,2,1,λόγους,Accusative,Plural
λόγος,G3056,Est,2,22,λόγος,Nominative,Singular
